"No.","Time","Source","Destination","Protocol","Length","Info"
"19","13.097662","20.189.173.9","192.168.1.217","TCP","56","443  >  61235 [ACK] Seq=55 Ack=1279 Win=2048 Len=0"
"20","14.764651","20.189.173.9","192.168.1.217","TLSv1.2","472","Application Data"
"21","14.772057","192.168.1.217","20.189.173.9","TLSv1.2","254","Application Data"
"22","14.956944","20.189.173.9","192.168.1.217","TLSv1.2","108","Application Data"
"23","14.957554","192.168.1.217","20.189.173.9","TCP","1494","61235  >  443 [ACK] Seq=1479 Ack=527 Win=515 Len=1440 [TCP segment of a reassembled PDU]"
"24","14.957554","192.168.1.217","20.189.173.9","TCP","1494","61235  >  443 [ACK] Seq=2919 Ack=527 Win=515 Len=1440 [TCP segment of a reassembled PDU]"
"25","14.957554","192.168.1.217","20.189.173.9","TCP","1494","61235  >  443 [ACK] Seq=4359 Ack=527 Win=515 Len=1440 [TCP segment of a reassembled PDU]"
"26","14.957554","192.168.1.217","20.189.173.9","TCP","1494","61235  >  443 [ACK] Seq=5799 Ack=527 Win=515 Len=1440 [TCP segment of a reassembled PDU]"
"27","14.957554","192.168.1.217","20.189.173.9","TLSv1.2","394","Application Data"
"28","15.146854","20.189.173.9","192.168.1.217","TCP","56","443  >  61235 [ACK] Seq=527 Ack=4359 Win=2053 Len=0"
"29","15.146936","20.189.173.9","192.168.1.217","TCP","56","443  >  61235 [ACK] Seq=527 Ack=7239 Win=2053 Len=0"
"30","15.191348","20.189.173.9","192.168.1.217","TCP","56","443  >  61235 [ACK] Seq=527 Ack=7579 Win=2051 Len=0"
"31","15.839245","192.168.1.217","8.241.92.254","TCP","54","61291  >  80 [FIN, ACK] Seq=1 Ack=1 Win=514 Len=0"
"32","15.863843","8.241.92.254","192.168.1.217","TCP","60","80  >  61291 [FIN, ACK] Seq=1 Ack=2 Win=11 Len=0"
"33","15.863904","192.168.1.217","8.241.92.254","TCP","54","61291  >  80 [ACK] Seq=2 Ack=2 Win=514 Len=0"
"34","15.894478","23.218.225.11","192.168.1.217","TLSv1.2","85","Encrypted Alert"
"35","15.894555","192.168.1.217","23.218.225.11","TCP","54","61268  >  443 [ACK] Seq=1 Ack=32 Win=1018 Len=0"
"36","15.894655","23.218.225.11","192.168.1.217","TCP","60","443  >  61268 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0"
"37","15.894680","192.168.1.217","23.218.225.11","TCP","54","61268  >  443 [ACK] Seq=1 Ack=33 Win=1018 Len=0"
"38","16.014214","20.189.173.9","192.168.1.217","TLSv1.2","472","Application Data"
"39","16.017368","192.168.1.217","20.189.173.9","TLSv1.2","253","Application Data"
"40","16.200149","20.189.173.9","192.168.1.217","TLSv1.2","108","Application Data"
"41","16.200635","192.168.1.217","20.189.173.9","TLSv1.2","1015","Application Data"
"42","16.274432","192.168.1.217","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"43","16.425877","20.189.173.9","192.168.1.217","TCP","56","443  >  61235 [ACK] Seq=999 Ack=8739 Win=2053 Len=0"
"44","16.766889","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"45","16.767115","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"46","16.767233","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"47","16.767335","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"48","16.815960","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"49","16.816237","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"50","16.816373","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"51","16.816478","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"52","16.852033","TendaTec_c1:6e:59","Technico_1d:aa:fb","ARP","42","Who has 192.168.1.1? Tell 192.168.1.217"
"53","16.855515","Technico_1d:aa:fb","TendaTec_c1:6e:59","ARP","60","192.168.1.1 is at d4:35:1d:1d:aa:fb"
"54","16.866247","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"55","16.870930","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"56","16.871119","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"57","16.871243","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"58","16.930511","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"59","16.930925","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"60","16.931114","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"61","16.931228","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"62","16.971911","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"63","16.972111","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"64","16.980638","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"65","16.980825","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"66","17.041906","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"67","17.042174","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"68","17.066005","192.0.78.22","192.168.1.217","TCP","60","443  >  61079 [ACK] Seq=25 Ack=29 Win=65 Len=0"
"69","17.248104","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"70","17.248574","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"71","17.270576","192.0.78.22","192.168.1.217","TCP","60","443  >  61080 [ACK] Seq=25 Ack=29 Win=65 Len=0"
"72","17.468952","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"73","17.469430","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"74","17.493473","192.0.78.22","192.168.1.217","TCP","60","443  >  61082 [ACK] Seq=25 Ack=29 Win=65 Len=0"
"75","17.670685","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"76","17.671043","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"77","17.692970","192.0.78.22","192.168.1.217","TCP","60","443  >  61083 [ACK] Seq=25 Ack=29 Win=71 Len=0"
"78","18.022821","192.168.1.233","192.168.1.255","UDP","77","36432  >  15600 Len=35"
"79","18.424644","192.168.1.217","192.0.78.12","TCP","55","61295  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU]"
"80","18.451073","192.0.78.12","192.168.1.217","TCP","66","443  >  61295 [ACK] Seq=1 Ack=2 Win=77 Len=0 SLE=1 SRE=2"
"81","19.270714","20.189.173.9","192.168.1.217","TLSv1.2","472","Application Data"
"82","19.324756","192.168.1.217","20.189.173.9","TCP","54","61235  >  443 [ACK] Seq=8739 Ack=1417 Win=511 Len=0"
"83","21.311638","192.168.1.117","192.168.1.255","UDP","309","52766  >  20002 Len=267"
"84","22.065652","192.168.1.217","20.54.36.229","TLSv1.2","97","Application Data"
"85","22.118251","20.54.36.229","192.168.1.217","TLSv1.2","228","Application Data"
"86","22.173298","192.168.1.217","20.54.36.229","TCP","54","61025  >  443 [ACK] Seq=44 Ack=175 Win=516 Len=0"
"87","22.828479","XiaomiCo_55:a0:2c","Broadcast","ARP","42","ARP Announcement for 192.168.1.183"
"88","22.835628","72:70:d5:5c:ef:f1","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.119"
"89","24.064651","192.168.1.233","192.168.1.255","UDP","77","46285  >  15600 Len=35"
"90","24.474130","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.117? Tell 192.168.1.1"
"91","24.475243","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.197? Tell 192.168.1.1"
"92","24.697657","192.168.1.217","8.8.4.4","TCP","55","61307  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"93","24.716793","8.8.4.4","192.168.1.217","TCP","66","443  >  61307 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"94","25.498197","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.183? Tell 192.168.1.1"
"95","25.499177","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.184? Tell 192.168.1.1"
"96","25.500218","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.233? Tell 192.168.1.1"
"97","26.522203","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.217? Tell 192.168.1.1"
"98","26.522237","TendaTec_c1:6e:59","Technico_1d:aa:fb","ARP","42","192.168.1.217 is at c8:3a:35:c1:6e:59"
"99","26.752050","192.168.1.217","152.199.19.161","TCP","54","61289  >  443 [FIN, ACK] Seq=1 Ack=2 Win=514 Len=0"
"100","26.803487","152.199.19.161","192.168.1.217","TCP","60","[TCP Previous segment not captured] 443  >  61289 [FIN, ACK] Seq=2 Ack=2 Win=133 Len=0"
"101","26.803519","192.168.1.217","152.199.19.161","TCP","54","[TCP ACKed unseen segment] 61289  >  443 [ACK] Seq=2 Ack=3 Win=514 Len=0"
"102","28.672577","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.119? Tell 192.168.1.1"
"103","29.103290","192.168.1.217","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"104","30.007784","192.168.1.233","192.168.1.255","UDP","77","50802  >  15600 Len=35"
"105","30.347047","192.168.1.117","192.168.1.255","UDP","309","42876  >  20002 Len=267"
"106","31.289822","72:70:d5:5c:ef:f1","Broadcast","ARP","42","ARP Announcement for 192.168.1.119"
"107","34.237086","192.168.1.217","8.8.4.4","TCP","55","61306  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"108","34.237087","192.168.1.217","8.8.4.4","TCP","55","61305  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]"
"109","34.262588","8.8.4.4","192.168.1.217","TCP","66","443  >  61306 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2"
"110","34.263491","8.8.4.4","192.168.1.217","TCP","66","443  >  61305 [ACK] Seq=1 Ack=2 Win=269 Len=0 SLE=1 SRE=2"
"111","34.557829","192.168.1.217","8.8.4.4","QUIC","1292","Initial, DCID=2239ae1632df7330, PKN: 1, PADDING, CRYPTO, PING, PADDING, PING, PING, PING, PING, PADDING, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING"
"112","34.561767","192.168.1.217","8.8.4.4","QUIC","122","0-RTT, DCID=2239ae1632df7330"
"113","34.561915","192.168.1.217","8.8.4.4","QUIC","287","0-RTT, DCID=2239ae1632df7330"
"114","34.604335","8.8.4.4","192.168.1.217","QUIC","1292","Protected Payload (KP0)"
"115","34.604597","8.8.4.4","192.168.1.217","QUIC","831","Protected Payload (KP0)"
"116","34.604990","192.168.1.217","8.8.4.4","QUIC","120","Handshake, DCID=2239ae1632df7330"
"117","34.605166","192.168.1.217","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=2239ae1632df7330"
"118","34.606294","8.8.4.4","192.168.1.217","QUIC","102","Protected Payload (KP0)"
"119","34.606516","8.8.4.4","192.168.1.217","QUIC","67","Protected Payload (KP0)"
"120","34.606566","8.8.4.4","192.168.1.217","QUIC","67","Protected Payload (KP0)"
"121","34.606675","192.168.1.217","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=2239ae1632df7330"
"122","34.606848","8.8.4.4","192.168.1.217","QUIC","68","Protected Payload (KP0)"
"123","34.607115","192.168.1.217","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=2239ae1632df7330"
"124","34.607441","8.8.4.4","192.168.1.217","QUIC","835","Protected Payload (KP0)"
"125","34.607824","192.168.1.217","8.8.4.4","QUIC","78","Protected Payload (KP0), DCID=2239ae1632df7330"
"126","34.608474","192.168.1.217","204.79.197.239","TCP","66","61316  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"127","34.630508","8.8.4.4","192.168.1.217","QUIC","162","Protected Payload (KP0)"
"128","34.630849","8.8.4.4","192.168.1.217","QUIC","67","Protected Payload (KP0)"
"129","34.632285","204.79.197.239","192.168.1.217","TCP","66","443  >  61316 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"130","34.632404","192.168.1.217","204.79.197.239","TCP","54","61316  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"131","34.632970","192.168.1.217","204.79.197.239","TLSv1.2","571","Client Hello"
"132","34.656615","192.168.1.217","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=2239ae1632df7330"
"133","34.667069","204.79.197.239","192.168.1.217","TCP","60","443  >  61316 [ACK] Seq=1 Ack=518 Win=4194304 Len=0"
"134","34.668416","204.79.197.239","192.168.1.217","TCP","1506","443  >  61316 [ACK] Seq=1 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"135","34.668565","204.79.197.239","192.168.1.217","TCP","1506","443  >  61316 [ACK] Seq=1453 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"136","34.668595","192.168.1.217","204.79.197.239","TCP","54","61316  >  443 [ACK] Seq=518 Ack=2905 Win=132352 Len=0"
"137","34.668717","204.79.197.239","192.168.1.217","TCP","1506","443  >  61316 [ACK] Seq=2905 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"138","34.669305","204.79.197.239","192.168.1.217","TCP","1506","443  >  61316 [ACK] Seq=4357 Ack=518 Win=4194304 Len=1452 [TCP segment of a reassembled PDU]"
"139","34.669367","192.168.1.217","204.79.197.239","TCP","54","61316  >  443 [ACK] Seq=518 Ack=5809 Win=132352 Len=0"
"140","34.669458","204.79.197.239","192.168.1.217","TLSv1.2","191","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"141","34.681746","192.168.1.217","204.79.197.239","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"142","34.681928","192.168.1.217","204.79.197.239","TLSv1.2","159","Application Data"
"143","34.682127","192.168.1.217","204.79.197.239","TLSv1.2","921","Application Data"
"144","34.682199","192.168.1.217","204.79.197.239","TCP","1494","61316  >  443 [ACK] Seq=1648 Ack=5946 Win=132096 Len=1440 [TCP segment of a reassembled PDU]"
"145","34.682199","192.168.1.217","204.79.197.239","TCP","1494","61316  >  443 [ACK] Seq=3088 Ack=5946 Win=132096 Len=1440 [TCP segment of a reassembled PDU]"
"146","34.682199","192.168.1.217","204.79.197.239","TCP","1494","61316  >  443 [ACK] Seq=4528 Ack=5946 Win=132096 Len=1440 [TCP segment of a reassembled PDU]"
"147","34.682199","192.168.1.217","204.79.197.239","TLSv1.2","607","Application Data"
"148","34.689304","8.8.4.4","192.168.1.217","QUIC","162","Protected Payload (KP0)"
"149","34.689689","192.168.1.217","8.8.4.4","QUIC","75","Protected Payload (KP0), DCID=2239ae1632df7330"
"150","34.706854","204.79.197.239","192.168.1.217","TCP","60","443  >  61316 [ACK] Seq=5946 Ack=676 Win=4194048 Len=0"
"151","34.706927","204.79.197.239","192.168.1.217","TCP","60","443  >  61316 [ACK] Seq=5946 Ack=781 Win=4194048 Len=0"
"152","34.706961","204.79.197.239","192.168.1.217","TCP","60","443  >  61316 [ACK] Seq=5946 Ack=1648 Win=4194816 Len=0"
"153","34.706989","204.79.197.239","192.168.1.217","TCP","56","443  >  61316 [ACK] Seq=5946 Ack=3088 Win=4193280 Len=0"
"154","34.709746","204.79.197.239","192.168.1.217","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"155","34.709833","204.79.197.239","192.168.1.217","TLSv1.2","123","Application Data"
"156","34.709858","192.168.1.217","204.79.197.239","TCP","54","61316  >  443 [ACK] Seq=6521 Ack=6357 Win=131840 Len=0"
"157","34.709965","204.79.197.239","192.168.1.217","TLSv1.2","92","Application Data"
"158","34.710009","204.79.197.239","192.168.1.217","TCP","56","443  >  61316 [ACK] Seq=6395 Ack=6521 Win=4194816 Len=0"
"159","34.710226","192.168.1.217","204.79.197.239","TLSv1.2","92","Application Data"
"160","34.739072","204.79.197.239","192.168.1.217","TCP","56","443  >  61316 [ACK] Seq=6395 Ack=6559 Win=4194560 Len=0"
"161","34.739194","204.79.197.239","192.168.1.217","TCP","56","[TCP Dup ACK 160#1] 443  >  61316 [ACK] Seq=6395 Ack=6559 Win=4194560 Len=0"
"162","34.743423","204.79.197.239","192.168.1.217","TLSv1.2","92","[TCP Previous segment not captured] , Application Data"
"163","34.743465","192.168.1.217","204.79.197.239","TCP","66","[TCP Dup ACK 159#1] 61316  >  443 [ACK] Seq=6559 Ack=6395 Win=131840 Len=0 SLE=7471 SRE=7509"
"164","34.744077","204.79.197.239","192.168.1.217","TCP","1130","[TCP Out-Of-Order] 443  >  61316 [PSH, ACK] Seq=6395 Ack=6559 Win=4194560 Len=1076"
"165","34.744147","192.168.1.217","204.79.197.239","TCP","54","61316  >  443 [ACK] Seq=6559 Ack=7509 Win=132352 Len=0"
"166","36.045807","192.168.1.233","192.168.1.255","UDP","77","41575  >  15600 Len=35"
"167","39.381474","192.168.1.117","192.168.1.255","UDP","309","42409  >  20002 Len=267"
"168","40.573626","192.168.1.217","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"169","40.654957","192.168.1.233","192.168.1.217","UDP","456","51109  >  56274 Len=414"
"170","41.580095","192.168.1.217","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"171","41.678189","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.197? Tell 192.168.1.1"
"172","41.679093","192.168.1.233","192.168.1.217","UDP","456","46016  >  56274 Len=414"
"173","41.956760","192.168.1.217","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"174","41.987213","192.168.1.233","192.168.1.255","UDP","77","39425  >  15600 Len=35"
"175","42.593187","192.168.1.217","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"176","42.599661","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.183? Tell 192.168.1.1"
"177","42.701803","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.184? Tell 192.168.1.1"
"178","42.702779","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.233? Tell 192.168.1.1"
"179","42.703139","192.168.1.233","192.168.1.217","UDP","456","47757  >  56274 Len=414"
"180","43.608260","192.168.1.217","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"181","43.623475","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.217? Tell 192.168.1.1"
"182","43.623504","TendaTec_c1:6e:59","Technico_1d:aa:fb","ARP","42","192.168.1.217 is at c8:3a:35:c1:6e:59"
"183","43.625338","192.168.1.233","192.168.1.217","UDP","456","41986  >  56274 Len=414"
"184","44.042233","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"185","44.042768","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"186","44.066612","192.0.78.22","192.168.1.217","TCP","60","443  >  61079 [ACK] Seq=49 Ack=57 Win=65 Len=0"
"187","44.249140","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"188","44.249612","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"189","44.277824","192.0.78.22","192.168.1.217","TCP","60","443  >  61080 [ACK] Seq=49 Ack=57 Win=65 Len=0"
"190","44.468911","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"191","44.469382","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"192","44.502870","192.0.78.22","192.168.1.217","TCP","60","443  >  61082 [ACK] Seq=49 Ack=57 Win=65 Len=0"
"193","44.672091","192.0.78.22","192.168.1.217","TLSv1.2","78","Application Data"
"194","44.672551","192.168.1.217","192.0.78.22","TLSv1.2","82","Application Data"
"195","44.694502","192.0.78.22","192.168.1.217","TCP","60","443  >  61083 [ACK] Seq=49 Ack=57 Win=71 Len=0"
"196","45.657579","SamsungE_53:73:14","TendaTec_c1:6e:59","ARP","60","Who has 192.168.1.217? Tell 192.168.1.233"
"197","45.657611","TendaTec_c1:6e:59","SamsungE_53:73:14","ARP","42","192.168.1.217 is at c8:3a:35:c1:6e:59"
"198","46.973395","SkyUk_50:96:08","Broadcast","ARP","42","ARP Announcement for 192.168.1.197"
"199","46.977969","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"200","46.978188","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"201","46.978311","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"202","46.978421","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"203","47.045664","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"204","47.045892","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"205","47.045948","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"206","47.045969","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"207","47.111269","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"208","47.111470","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"209","47.111592","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"210","47.111696","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"211","47.147366","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"212","47.147560","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"213","47.147678","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"214","47.147782","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"215","47.214363","192.168.1.197","239.255.255.250","SSDP","447","NOTIFY * HTTP/1.1 "
"216","47.214554","192.168.1.197","239.255.255.250","SSDP","456","NOTIFY * HTTP/1.1 "
"217","47.214671","192.168.1.197","239.255.255.250","SSDP","503","NOTIFY * HTTP/1.1 "
"218","47.214773","192.168.1.197","239.255.255.250","SSDP","505","NOTIFY * HTTP/1.1 "
"219","48.049875","192.168.1.233","192.168.1.255","UDP","77","47111  >  15600 Len=35"
"220","48.418009","192.168.1.117","192.168.1.255","UDP","309","56813  >  20002 Len=267"
"221","48.421659","192.0.78.12","192.168.1.217","TLSv1.2","93","Application Data"
"222","48.421828","192.0.78.12","192.168.1.217","TLSv1.2","78","Application Data"
"223","48.421858","192.168.1.217","192.0.78.12","TCP","54","61295  >  443 [ACK] Seq=2 Ack=64 Win=515 Len=0"
"224","48.421956","192.0.78.12","192.168.1.217","TCP","60","443  >  61295 [FIN, ACK] Seq=64 Ack=2 Win=77 Len=0"
"225","48.421981","192.168.1.217","192.0.78.12","TCP","54","61295  >  443 [ACK] Seq=2 Ack=65 Win=515 Len=0"
"226","48.422177","192.168.1.217","192.0.78.12","TCP","54","61295  >  443 [FIN, ACK] Seq=2 Ack=65 Win=515 Len=0"
"227","48.446428","192.0.78.12","192.168.1.217","TCP","60","443  >  61295 [ACK] Seq=65 Ack=3 Win=77 Len=0"
"228","53.556562","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.117? Tell 192.168.1.1"
"229","53.557614","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.119? Tell 192.168.1.1"
"230","54.171123","192.168.1.233","192.168.1.255","UDP","77","41799  >  15600 Len=35"
"231","54.769130","192.168.1.217","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"232","57.456506","192.168.1.117","192.168.1.255","UDP","309","56662  >  20002 Len=267"
"233","58.779308","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.197? Tell 192.168.1.1"
"234","59.803138","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.183? Tell 192.168.1.1"
"235","59.804189","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.184? Tell 192.168.1.1"
"236","59.805315","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.233? Tell 192.168.1.1"
"237","60.008075","192.168.1.233","192.168.1.255","UDP","77","39281  >  15600 Len=35"
"238","60.827252","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.217? Tell 192.168.1.1"
"239","60.827285","TendaTec_c1:6e:59","Technico_1d:aa:fb","ARP","42","192.168.1.217 is at c8:3a:35:c1:6e:59"
"240","63.488847","192.168.1.1","224.0.0.1","IGMPv2","60","Membership Query, general"
"241","64.513966","fe80::d635:1dff:fe1d:aafb","ff02::1","ICMPv6","90","Multicast Listener Query"
"242","65.251091","192.168.1.217","144.76.59.84","ICMP","42","Echo (ping) request  id=0x040e, seq=23048/2138, ttl=3 (no response found!)"
"243","65.262733","172.17.51.168","192.168.1.217","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"244","66.049818","192.168.1.233","192.168.1.255","UDP","77","60910  >  15600 Len=35"
"245","66.495031","192.168.1.117","192.168.1.255","UDP","309","60229  >  20002 Len=267"
"246","66.854753","192.168.1.217","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"247","67.072146","192.168.1.217","20.54.36.229","TLSv1.2","97","Application Data"
"248","67.126476","20.54.36.229","192.168.1.217","TLSv1.2","228","Application Data"
